Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S75355774,Canada Goose,Branta canadensis,324,3,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2020-10-24,04:38 PM,eBird - Traveling Count,85,1,2.975,,2
S75401946,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2020-10-25,02:53 PM,eBird - Traveling Count,82,1,2.833,,2
S75599193,Canada Goose,Branta canadensis,324,6,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2020-10-30,10:28 AM,eBird - Traveling Count,126,1,3.843,,1
S75647951,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2020-10-31,11:39 AM,eBird - Traveling Count,92,1,2.747,,2
S76715464,Canada Goose,Branta canadensis,324,7,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2020-11-26,09:08 AM,eBird - Traveling Count,51,1,2.386,,2
S83098384,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-03-09,04:04 PM,eBird - Traveling Count,68,1,2.89,,2
S83663487,Canada Goose,Branta canadensis,324,5,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-03-19,08:31 AM,eBird - Traveling Count,73,1,3.015,,1
S84234213,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-03-27,07:53 PM,eBird - Traveling Count,40,1,1.525,,1
S84261287,Canada Goose,Branta canadensis,324,5,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-03-28,09:01 AM,eBird - Traveling Count,95,1,4.236,,2
S84849027,Canada Goose,Branta canadensis,324,10,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-04-05,10:15 AM,eBird - Traveling Count,86,1,3.689,,1
S85101640,Canada Goose,Branta canadensis,324,5,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-04-08,09:33 AM,eBird - Traveling Count,74,0,3.255,,1
S85649683,Canada Goose,Branta canadensis,324,6,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-04-16,09:17 AM,eBird - Traveling Count,80,1,3.191,,2
S85712313,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-04-17,08:34 AM,eBird - Traveling Count,59,1,2.734,,2
S86056198,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-04-21,03:53 PM,eBird - Traveling Count,71,1,2.761,,2
S86158399,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-04-23,09:48 AM,eBird - Traveling Count,92,0,3.583,,1
S86238712,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-04-24,09:53 AM,eBird - Traveling Count,82,1,3.361,,2
S86895972,Canada Goose,Branta canadensis,324,3,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-05-02,07:44 AM,eBird - Traveling Count,111,1,4.008,,2
S87005399,Canada Goose,Branta canadensis,324,6,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-05-03,07:50 AM,eBird - Traveling Count,66,1,2.701,,2
S88386188,Canada Goose,Branta canadensis,324,3,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-05-17,08:03 AM,eBird - Traveling Count,104,0,4.305,,1
S88448805,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-05-18,08:04 AM,eBird - Traveling Count,73,0,3.038,,1
S88650337,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-05-21,06:56 AM,eBird - Traveling Count,121,0,3.973,,1
S89239068,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-05-29,10:58 AM,eBird - Traveling Count,102,0,4.099,,2
S93488142,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-08-20,09:31 AM,eBird - Traveling Count,95,1,3.,,1
S93941803,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-08-30,10:18 AM,eBird - Traveling Count,77,0,2.667,,2
S94436385,Canada Goose,Branta canadensis,324,3,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-09-09,09:09 AM,eBird - Traveling Count,113,1,2.967,,1
S94693897,Canada Goose,Branta canadensis,324,4,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-09-15,09:13 AM,eBird - Traveling Count,152,1,2.03,,1
S95248856,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-09-27,09:09 AM,eBird - Traveling Count,92,1,2.925,,1
S95601049,Canada Goose,Branta canadensis,324,3,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-10-04,01:56 PM,eBird - Traveling Count,131,1,2.926,,1
S96685370,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2021-10-25,08:50 AM,eBird - Traveling Count,77,1,2.695,,1
S106884418,Canada Goose,Branta canadensis,324,5,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2022-04-08,04:02 PM,eBird - Traveling Count,56,0,2.656,,2
S106943805,Canada Goose,Branta canadensis,324,7,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2022-04-13,10:24 AM,eBird - Traveling Count,99,1,3.451,,1
S107194227,Canada Goose,Branta canadensis,324,11,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2022-04-16,09:57 AM,eBird - Traveling Count,153,1,4.044,,1
S107875842,Canada Goose,Branta canadensis,324,4,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2022-04-24,06:22 AM,eBird - Traveling Count,80,1,2.589,,1
S108747147,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2022-05-02,12:43 PM,eBird - Traveling Count,151,1,4.92,,1
S108803740,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2022-05-03,07:02 AM,eBird - Traveling Count,92,1,2.904,,1
S109322874,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2022-05-08,07:41 AM,eBird - Traveling Count,127,1,4.036,,1
S110022141,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2022-05-14,09:46 AM,eBird - Traveling Count,79,0,3.223,,2
S120560698,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2022-09-28,05:05 PM,eBird - Traveling Count,96,1,2.979,,1
S131953048,Canada Goose,Branta canadensis,324,4,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2023-02-25,02:25 PM,eBird - Traveling Count,57,0,1.594,,1
S136387079,Canada Goose,Branta canadensis,324,6,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2023-05-04,03:14 PM,eBird - Traveling Count,119,1,3.153,,1
S136386996,Canada Goose,Branta canadensis,324,9,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2023-05-06,08:14 AM,eBird - Traveling Count,134,1,3.736,,1
S64275913,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L462930,Beaver Island SP,42.9643762,-78.9500361,2020-02-09,10:30 AM,eBird - Casual Observation,,0,,,2
S70076969,Canada Goose,Branta canadensis,324,6,US-NY,Erie,L462930,Beaver Island SP,42.9643762,-78.9500361,2020-06-05,08:47 AM,eBird - Traveling Count,94,0,3.706,,2
